"location","latitude","longitude"
"rajarhat",22.5765243,88.4796344
"garia",22.4629461,88.3967536
"barrackpore",22.7674278,88.3883455
"santoshpur",22.49281,88.387838
"kankurgachi",22.5780247,88.3902174
"alipur",22.5248472,88.3312187
"alipore",22.5248472,88.3312187
"amherst street",22.5777658,88.3692471
"strand road",22.5736711,88.3455579
"alipur road",22.5251214,88.3308959
"alipore road",22.5251214,88.3308959
"bagh bazar",22.6026086,88.3658993
"ballygunge phari",22.5281267,88.3658883
"ballygunge",22.5279046,88.3624861
"tollygunge",22.4986357,88.3453906
"b b d bag",22.5711841,88.3470047
"dalhousie square",22.5711841,88.3470047
"college square",22.5742457,88.3628573
"college street",22.5742457,88.3628573
"bandel",22.9274222,88.3773462
"howrah",22.5957689,88.2636394
"howrah station",22.5839456,88.3434068
"bally",22.645734,88.34786
"burrabazar",22.5817406,88.3543972
"bara bazar",22.5817406,88.3543972
"beadon street",22.5892305,88.3674535
"s n banerjee road",22.561334,88.3588174
"s n banerjee rd",22.561334,88.3588174
"m g road",22.4609999,88.3292444
"g t road",22.6782063,88.3710894
"gt road",22.6782063,88.3710894
"mg road",22.4609999,88.3292444
"a j c bose road flyover",22.5413388,88.3536302
"a j c bose road",22.5494582,88.3624905
"ajc bose road",22.5494582,88.3624905
"bata nagar",22.5132689,88.2229909
"amtala",22.3652404,88.3487049
"baguiati",22.6167843,88.4274592
"barasat",22.7228159,88.480552
"beck bagan",22.5385631,88.3615713
"park circus",22.5392265,88.3699861
"park street",22.5410939,88.3681333
"bangur",22.6060853,88.4138969
"bangure avenue",22.6060853,88.4138969
"lake town",22.6069698,88.4028138
"laketown",22.6069698,88.4028138
"dhakuria",22.5104166,88.3710975
"ashutosh mukherjee road",22.5345383,88.346127
"andul road",22.5733946,88.2629378
"amartala street",22.6379082,88.3404158
"barisha",22.4852952,88.3206664
"24 parganas",22.572646,88.363895
"narendrapur",22.4391117,88.3967536
"agarpara",22.6816847,88.3848559
"alambazar",22.6495466,88.3633918
"ballygunge circular road",22.5332402,88.3569056
"barrackpore trunk road",22.6812304,88.3757267
"cit scheme",22.5150239,88.3612947
"camac street",22.5458296,88.3528315
"canning street",22.577478,88.3516452
"chandni chowk",22.5660637,88.3561094
"central avenue",22.5773902,88.3602719
"c r avenue",22.5804966,88.3611692
"chittaranjan avenue",22.5804966,88.3611692
"chetla",22.5154308,88.3349409
"chowringee",22.5516889,88.3491439
